team,elo,p_advance,p_champion
Brazil,1724,0.955,0.2013
France,1775,0.9733,0.1267
Argentina,1713,0.942,0.1217
Germany,1741,0.9037,0.085
Netherlands,1804,0.893,0.08
England,1640,0.9377,0.061
Spain,1631,0.8797,0.0573
Portugal,1598,0.9257,0.0377
Belgium,1625,0.947,0.0267
Sweden,1596,0.8577,0.025
Uruguay,1559,0.839,0.0223
Mexico,1529,0.843,0.0177
Croatia,1610,0.8193,0.0173
Switzerland,1498,0.927,0.0157
Turkey,1550,0.7923,0.015
Colombia,1577,0.83,0.0117
Austria,1510,0.6877,0.0073
United States,1445,0.753,0.0067
Ecuador,1544,0.6393,0.0057
Senegal,1535,0.6963,0.0057
Cape Verde,1500,0.4953,0.0047
Paraguay,1516,0.724,0.0043
South Korea,1431,0.6447,0.004
Morocco,1521,0.749,0.0037
Ivory Coast,1490,0.5743,0.0033
Bosnia and Herzegovina,1490,0.7797,0.0033
Ghana,1479,0.5757,0.003
Jordan,1500,0.5193,0.0027
Czech Republic,1477,0.5993,0.0027
South Africa,1482,0.6247,0.0027
Scotland,1436,0.643,0.0027
Uzbekistan,1500,0.5833,0.0027
Japan,1494,0.5563,0.0027
Curacao,1500,0.556,0.002
Algeria,1449,0.5133,0.0017
Australia,1434,0.4417,0.0013
New Zealand,1453,0.553,0.0013
DR Congo,1417,0.331,0.0007
Qatar,1439,0.506,0.0007
Norway,1518,0.6143,0.0007
Saudi Arabia,1341,0.4473,0.0007
Egypt,1398,0.526,0.0003
Iraq,1429,0.319,0.0003
Tunisia,1419,0.3763,0.0003
Panama,1420,0.318,0.0003
Canada,1397,0.4693,0.0
Haiti,1409,0.2793,0.0
Iran,1399,0.639,0.0
